File	NOS_Chan1	NOGS_Chan1	MeanAdjNNR_Chan1	SNR_Chan1	NOS_Chan2	NOGS_Chan2	MeanAdjNNR_Chan2	SNR_Chan2	PointingAzi	PointingDep	SunAzimuth	SunZenith	SS1904	Juli	Time	DyOY	Year	Mont	DyOM	InTe	InHu	OuTe	OuHu	OuPr	WiSp	WiDi	CLat	CLon	CAlt	TLat	TLon	TAlt	GiAz	GiEl	DoAz	OPDi	FSSi	FoLe	LaFq	ABPr	ABst	ABen	DDis	ScSp	SaRt	ADGs	PAGs	LiSo	TaTy	TaNa	LINa	DTys	CoFl	ADSF	Max0	Min0	Mea0	Mod0	Sat0	Max1	Min1	Mea1	Mod1	Sat1	Max2	Min2	Mea2	Mod2	Sat2	Max3	Min3	Mea3	Mod3	Sat3	DeltaNu	SpecNP	iFirst	#First	iLast	#Last	IPP_OPD	SIVcut	IPPScale	LaShift
cl201907101347Coro.001	12	12	1.155279	356.3	12	12	0.757171	134.5	132.945611	1.399970	70.283527	79.367131	3645611277	3477.533299	13.799167	191	2019	7	10	0	0	59	23	830.42	3.80	258	34.2210	-118.0570	1673	33.8676	-117.6008	261	3.4749	44.5250	132.1182	52.0	3.030	304.80	15798.0137	4995	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	Corona	Corona	49630	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	0.521438	0.094159	0.316877	0.694141	0.000000	0.280135	0.131941	0.206044	0.359624	0.000000	0.285475	-0.030431	0.127622	1.238728	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907101350Nort.002	12	12	1.170068	340.9	12	12	0.768347	111.0	146.841170	1.895796	70.465567	79.085327	3645611406	3477.534792	13.835000	191	2019	7	10	0	0	59	23	830.42	3.80	258	34.2210	-118.0570	1673	33.8634	-117.7760	97	-10.3673	44.2402	145.4187	52.0	3.030	304.80	15798.0137	5077	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	NorthOC	NorthOC	49760	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	0.464640	0.084356	0.280605	0.692738	0.000000	0.207516	0.097312	0.152506	0.361532	0.000000	0.280985	-0.025742	0.127714	1.201722	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl20190710135260In.003	12	12	1.183140	255.4	12	12	0.779884	101.8	146.697820	3.005347	70.699729	78.716008	3645611531	3477.536238	13.869722	191	2019	7	10	0	0	59	23	830.42	3.80	258	34.2210	-118.0570	1673	33.9997	-117.8826	151	-10.2245	43.6859	145.4187	52.0	3.030	304.80	15798.0137	5093	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	60Industry	60Industry	49885	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	0.367113	0.069990	0.224382	0.679779	0.000000	0.182328	0.086372	0.134397	0.357108	0.000000	0.280213	-0.025491	0.127596	1.200104	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907101354Sant.004	12	12	1.204496	209.7	12	12	0.796001	81.8	147.057099	5.982955	70.944262	78.333791	3645611658	3477.537708	13.905000	191	2019	7	10	0	0	59	23	830.42	3.80	258	34.2210	-118.0570	1673	34.1101	-117.9695	134	-10.5824	42.1959	145.4187	52.0	3.030	304.80	15798.0137	5098	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	SantaFeDam	SantaFeDam	50012	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	0.306595	0.057022	0.186543	0.686386	0.000000	0.136280	0.064037	0.100102	0.360635	0.000000	0.280569	-0.025135	0.127911	1.196645	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907101356OCai.005	12	12	1.181194	333.9	12	12	0.773121	105.9	163.479160	1.513223	71.185265	77.962351	3645611789	3477.539225	13.941389	191	2019	7	10	0	0	59	23	830.42	3.80	258	34.2210	-118.0570	1673	33.6785	-117.8637	12	-26.9414	44.3642	161.3793	52.0	3.030	304.80	15798.0137	5094	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	OCairPort	OCairPort	50142	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	0.441467	0.082009	0.267589	0.686729	0.000000	0.193984	0.090856	0.142417	0.362058	0.000000	0.280979	-0.025535	0.127786	1.199818	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907101358Ange.006	12	12	1.168779	345.5	12	12	0.774514	105.5	160.879979	1.925586	71.458063	77.531462	3645611913	3477.540660	13.975833	191	2019	7	10	0	0	59	23	830.42	3.80	258	34.2210	-118.0570	1673	33.8002	-117.8827	47	-24.3522	44.1700	161.3793	52.0	3.030	304.80	15798.0137	5087	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	AngelsStadium	AngelsStadium	50267	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	0.472311	0.083264	0.283702	0.700304	0.000000	0.192529	0.089371	0.141009	0.365942	0.000000	0.280714	-0.025055	0.128001	1.195836	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907101400Spec.007	12	12	1.113415	360.3	12	12	0.765696	111.5	188.835629	21.367578	71.750724	77.080435	3645612052	3477.542269	14.014444	191	2019	7	10	0	0	59	23	830.42	3.80	258	34.2210	-118.0570	1673	34.2210	-118.0571	1673	-52.2005	34.2988	187.0936	52.0	3.030	304.80	15798.0137	5070	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	Spectralon	Spectralon	50405	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	0.913783	0.165014	0.546463	0.694075	0.000000	0.235660	0.110649	0.173198	0.360990	0.000000	0.280743	-0.024576	0.128158	1.191772	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907101403Hunt.008	12	12	1.174769	343.2	12	12	0.775980	106.0	172.197940	1.701435	71.964202	76.724465	3645612188	3477.543843	14.052222	191	2019	7	10	0	0	59	23	830.42	3.80	258	34.2210	-118.0570	1673	33.7224	-117.9749	12	-35.6267	44.2265	172.9064	52.0	3.030	304.80	15798.0137	5065	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	HuntinghtonBeach	HuntinghtonBeach	50542	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	0.459850	0.085651	0.277993	0.686000	0.000000	0.191431	0.089815	0.140586	0.361299	0.000000	0.285891	-0.029649	0.128081	1.231663	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907101405LaMi.009	12	12	1.181854	305.6	12	12	0.786745	97.2	172.332557	2.711013	72.249764	76.279708	3645612313	3477.545289	14.086944	191	2019	7	10	0	0	59	23	830.42	3.80	258	34.2210	-118.0570	1673	33.9099	-118.0059	57	-35.7608	43.7210	172.9064	52.0	3.030	304.80	15798.0137	5062	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	LaMirada	LaMirada	50667	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	0.432017	0.076383	0.259730	0.699549	0.000000	0.168916	0.078638	0.123803	0.364683	0.000000	0.280771	-0.025585	0.127663	1.200281	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907101407605a.010	12	12	1.214419	204.8	12	12	0.796243	83.4	172.054590	4.314946	72.529214	75.844016	3645612439	3477.546748	14.121944	191	2019	7	10	0	0	59	23	830.42	3.80	258	34.2210	-118.0570	1673	34.0297	-118.0254	77	-35.4839	42.9205	172.9064	52.0	3.030	304.80	15798.0137	5060	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	605and60	605and60	50792	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	0.293979	0.057330	0.180152	0.673670	0.000000	0.137924	0.064976	0.101490	0.359527	0.000000	0.280353	-0.025186	0.127656	1.197352	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
